edad,clase_trabajadora,nivel_educativo,anos_educacion,estado_civil,ocupacion,relacion_familiar,raza,sexo,horas_semana,pais_origen,ingresos
47,Privada,Secundaria,9,Casado/a,Ventas,Soltero/a,Blanco/a,Hombre,41,Estados Unidos,<=50K
49,Privada,Algo de universidad,10,Casado/a,Operador maquinaria,Otro familiar,Negro/a,Mujer,52,México,<=50K
56,Privada,Grado universitario,13,Soltero/a,Agricultura,Cónyuge,Blanco/a,Hombre,40,Estados Unidos,>50K
37,Privada,Algo de universidad,10,Divorciado/a,Técnico especializado,Cónyuge,Blanco/a,Hombre,33,Estados Unidos,<=50K
58,Privada,Secundaria,9,Casado/a,Técnico especializado,Hijo/a,Blanco/a,Hombre,41,Estados Unidos,<=50K
38,Privada,Grado universitario,13,Casado/a,Administración,Cónyuge,Blanco/a,Mujer,45,El Salvador,<=50K
27,Privada,Bachillerato,13,Casado/a,Ventas,Sin familia,Blanco/a,Mujer,59,Estados Unidos,<=50K
42,Privada,Secundaria,9,Casado/a,Construcción/Reparación,Sin familia,Blanco/a,Mujer,59,Estados Unidos,<=50K
34,Privada,Secundaria,9,Divorciado/a,Ejecutivo/Directivo,Hijo/a,Blanco/a,Hombre,62,Estados Unidos,<=50K
36,Privada,Secundaria,9,Soltero/a,Otros servicios,Cónyuge,Blanco/a,Hombre,34,Estados Unidos,<=50K
46,Privada,Secundaria,9,Soltero/a,Administración,Hijo/a,Negro/a,Hombre,41,Estados Unidos,<=50K
31,Privada,Grado universitario,13,Casado/a,Transporte,Cónyuge,Blanco/a,Mujer,42,Estados Unidos,<=50K
42,Autónomo inc.,Algo de universidad,10,Casado/a,Operador maquinaria,Sin familia,Indígena americano/a,Hombre,46,Estados Unidos,<=50K
29,Gobierno local,FP Superior,12,Casado/a,Operador maquinaria,Sin familia,Blanco/a,Hombre,53,Estados Unidos,<=50K
31,Gobierno local,Secundaria,9,Casado/a,Agricultura,Cónyuge,Blanco/a,Hombre,51,Canadá,<=50K
62,Privada,Algo de universidad,10,Casado/a,Otros servicios,Sin familia,Blanco/a,Mujer,52,Estados Unidos,<=50K
28,Privada,Secundaria,9,Soltero/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,39,Estados Unidos,<=50K
32,Autónomo inc.,Grado universitario,13,Casado/a,Técnico especializado,Soltero/a,Blanco/a,Hombre,42,Estados Unidos,>50K
29,Privada,Grado universitario,13,Divorciado/a,Administración,Esposo/a,Blanco/a,Mujer,56,Estados Unidos,>50K
29,Privada,Bachillerato,13,Soltero/a,Operador maquinaria,Sin familia,Asiático/a,Hombre,39,Estados Unidos,<=50K
33,Gobierno autonómico,Bachillerato,13,Separado/a,Técnico especializado,Esposo/a,Blanco/a,Hombre,45,Guatemala,>50K
44,Privada,Secundaria,9,Soltero/a,Administración,Sin familia,Blanco/a,Hombre,40,Estados Unidos,<=50K
36,Privada,Algo de universidad,10,Casado/a,Administración,Cónyuge,Blanco/a,Hombre,51,Estados Unidos,<=50K
17,Autónomo inc.,Secundaria,9,Casado/a,Agricultura,Otro familiar,Negro/a,Mujer,44,Estados Unidos,<=50K
47,Gobierno local,Bachillerato,13,Casado/a,Construcción/Reparación,Otro familiar,Indígena americano/a,Hombre,38,Estados Unidos,<=50K
42,Gobierno federal,Grado universitario,13,Divorciado/a,Administración,Cónyuge,Blanco/a,Hombre,38,Estados Unidos,>50K
57,Gobierno local,Grado universitario,13,Casado/a,Administración,Cónyuge,Asiático/a,Mujer,43,Estados Unidos,<=50K
51,Privada,Bachillerato,13,Soltero/a,Ventas,Sin familia,Blanco/a,Hombre,58,Estados Unidos,>50K
51,Privada,Bachillerato,13,Casado/a,Operador maquinaria,Sin familia,Blanco/a,Hombre,41,Estados Unidos,<=50K
17,Privada,FP Medio,11,Casado/a,Administración,Sin familia,Blanco/a,Hombre,57,Estados Unidos,<=50K
37,Privada,Secundaria,9,Viudo/a,Administración,Cónyuge,Blanco/a,Mujer,49,Estados Unidos,<=50K
23,Privada,FP Medio,11,Divorciado/a,Otros servicios,Cónyuge,Blanco/a,Hombre,45,Estados Unidos,<=50K
27,Privada,Bachillerato,13,Divorciado/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,33,Estados Unidos,>50K
44,Privada,FP Superior,12,Soltero/a,Técnico especializado,Cónyuge,Blanco/a,Hombre,54,Estados Unidos,<=50K
30,Privada,Secundaria,9,Casado/a,Administración,Sin familia,Blanco/a,Hombre,25,Estados Unidos,<=50K
38,Privada,Bachillerato,13,Casado/a,Ventas,Cónyuge,Blanco/a,Mujer,51,Estados Unidos,<=50K
24,Privada,Bachillerato,13,Soltero/a,Ventas,Sin familia,Blanco/a,Hombre,32,Estados Unidos,<=50K
68,Autónomo no inc.,Secundaria,9,Casado/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,52,Estados Unidos,<=50K
38,Privada,Bachillerato,13,Casado/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,41,Estados Unidos,<=50K
17,Gobierno autonómico,Bachillerato,13,Casado/a,Servicios domésticos,Esposo/a,Blanco/a,Hombre,48,Estados Unidos,<=50K
44,Privada,Secundaria,9,Casado/a,Operador maquinaria,Cónyuge,Blanco/a,Hombre,42,Estados Unidos,<=50K
32,Privada,Algo de universidad,10,Divorciado/a,Ejecutivo/Directivo,Hijo/a,Blanco/a,Hombre,36,Estados Unidos,<=50K
30,Privada,Grado universitario,13,Divorciado/a,Administración,Hijo/a,Blanco/a,Hombre,49,México,>50K
40,Privada,Bachillerato,13,Soltero/a,Ventas,Otro familiar,Blanco/a,Mujer,41,Estados Unidos,>50K
33,Autónomo inc.,Secundaria,9,Divorciado/a,Construcción/Reparación,Esposo/a,Blanco/a,Hombre,36,Estados Unidos,<=50K
29,Privada,Grado universitario,13,Divorciado/a,Ejecutivo/Directivo,Esposo/a,Blanco/a,Hombre,13,Estados Unidos,>50K
26,Gobierno local,Secundaria,9,Casado/a,Ejecutivo/Directivo,Sin familia,Blanco/a,Mujer,43,Estados Unidos,<=50K
31,Privada,Algo de universidad,10,Soltero/a,Técnico especializado,Sin familia,Blanco/a,Mujer,44,Estados Unidos,<=50K
54,Privada,Algo de universidad,10,Soltero/a,Otros servicios,Sin familia,Blanco/a,Hombre,34,Estados Unidos,<=50K
24,Gobierno local,Secundaria,9,Casado/a,Administración,Soltero/a,Blanco/a,Hombre,33,Estados Unidos,<=50K
35,Gobierno local,Máster,14,Divorciado/a,Otros servicios,Soltero/a,Blanco/a,Hombre,40,Estados Unidos,>50K
20,Autónomo no inc.,Máster,14,Soltero/a,Administración,Cónyuge,Indígena americano/a,Hombre,62,Estados Unidos,>50K
71,Privada,Bachillerato,13,Casado/a,Operador maquinaria,Cónyuge,Blanco/a,Hombre,46,Estados Unidos,<=50K
35,Privada,Grado universitario,13,Casado/a,Ejecutivo/Directivo,Hijo/a,Blanco/a,Hombre,47,Estados Unidos,>50K
48,Privada,Secundaria,9,Soltero/a,Técnico especializado,Sin familia,Blanco/a,Hombre,38,El Salvador,<=50K
27,Sin empleo remunerado,Secundaria,9,Divorciado/a,Técnico especializado,Sin familia,Blanco/a,Hombre,38,Estados Unidos,<=50K
71,Privada,Grado universitario,13,Casado/a,Ventas,Hijo/a,Blanco/a,Hombre,26,Estados Unidos,<=50K
41,Gobierno local,Secundaria,9,Casado/a,Otros servicios,Cónyuge,Blanco/a,Hombre,36,Estados Unidos,<=50K
36,Privada,Algo de universidad,10,Soltero/a,Técnico especializado,Cónyuge,Blanco/a,Mujer,40,Estados Unidos,<=50K
33,Privada,Grado universitario,13,Soltero/a,Transporte,Cónyuge,Blanco/a,Hombre,37,Estados Unidos,<=50K
17,Gobierno local,Grado universitario,13,Casado/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,61,Estados Unidos,>50K
54,Privada,Algo de universidad,10,Separado/a,Operador maquinaria,Cónyuge,Negro/a,Hombre,13,Estados Unidos,<=50K
33,Privada,Algo de universidad,10,Divorciado/a,Otros servicios,Cónyuge,Blanco/a,Mujer,56,Estados Unidos,<=50K
21,Privada,Bachillerato,13,Soltero/a,Técnico especializado,Sin familia,Blanco/a,Mujer,41,Estados Unidos,<=50K
31,Privada,Bachillerato,13,Soltero/a,Transporte,Sin familia,Blanco/a,Hombre,46,Estados Unidos,>50K
35,Privada,Secundaria,9,Casado/a,Ejecutivo/Directivo,Sin familia,Blanco/a,Hombre,49,Estados Unidos,>50K
18,Privada,Grado universitario,13,Casado/a,Ventas,Hijo/a,Blanco/a,Hombre,30,Filipinas,>50K
45,Privada,Secundaria,9,Divorciado/a,Construcción/Reparación,Sin familia,Blanco/a,Mujer,21,Estados Unidos,<=50K
63,Privada,Algo de universidad,10,Soltero/a,Operador maquinaria,Sin familia,Blanco/a,Mujer,39,Estados Unidos,<=50K
20,Privada,FP Superior,12,Soltero/a,Operador maquinaria,Sin familia,Blanco/a,Hombre,37,Estados Unidos,<=50K
18,Gobierno autonómico,Máster,14,Casado/a,Otros servicios,Soltero/a,Blanco/a,Hombre,39,Estados Unidos,>50K
43,Gobierno autonómico,Máster,14,Divorciado/a,Transporte,Otro familiar,Blanco/a,Mujer,37,Estados Unidos,>50K
19,Privada,Bachillerato,13,Soltero/a,Construcción/Reparación,Sin familia,Blanco/a,Hombre,46,Estados Unidos,<=50K
29,Privada,FP Superior,12,Soltero/a,Ejecutivo/Directivo,Cónyuge,Negro/a,Hombre,52,Estados Unidos,<=50K
47,Autónomo no inc.,Primaria incompleta,2,Casado/a,Operador maquinaria,Cónyuge,Blanco/a,Mujer,40,Estados Unidos,<=50K
17,Autónomo no inc.,Algo de universidad,10,Casado/a,Construcción/Reparación,Cónyuge,Blanco/a,Mujer,18,Estados Unidos,<=50K
17,Privada,Algo de universidad,10,Separado/a,Operador maquinaria,Cónyuge,Blanco/a,Hombre,25,Estados Unidos,>50K
68,Privada,Primaria incompleta,2,Casado/a,Seguridad,Sin familia,Blanco/a,Mujer,32,Estados Unidos,<=50K
31,Privada,Grado universitario,13,Casado/a,Técnico especializado,Soltero/a,Negro/a,Hombre,32,México,<=50K
33,Autónomo no inc.,Grado universitario,13,Casado/a,Transporte,Cónyuge,Blanco/a,Mujer,25,Estados Unidos,<=50K
27,Gobierno local,Algo de universidad,10,Casado/a,Agricultura,Soltero/a,Negro/a,Hombre,41,Estados Unidos,<=50K
26,Privada,Secundaria,9,Casado/a,Otros servicios,Hijo/a,Blanco/a,Hombre,41,Estados Unidos,<=50K
17,Privada,Grado universitario,13,Casado/a,Otros servicios,Sin familia,Blanco/a,Mujer,29,Estados Unidos,>50K
50,Gobierno local,Grado universitario,13,Soltero/a,Otros servicios,Sin familia,Blanco/a,Mujer,45,Estados Unidos,<=50K
33,Autónomo no inc.,Algo de universidad,10,Soltero/a,Transporte,Hijo/a,Blanco/a,Hombre,29,Estados Unidos,<=50K
38,Privada,Secundaria,9,Divorciado/a,Operador maquinaria,Cónyuge,Blanco/a,Hombre,41,Estados Unidos,<=50K
53,Gobierno local,Bachillerato,13,Separado/a,Otros servicios,Cónyuge,Blanco/a,Mujer,22,Estados Unidos,<=50K
17,Privada,Bachillerato,13,Soltero/a,Servicios domésticos,Soltero/a,Blanco/a,Hombre,51,Estados Unidos,>50K
36,Autónomo no inc.,Secundaria,9,Casado/a,Construcción/Reparación,Soltero/a,Blanco/a,Mujer,15,Estados Unidos,<=50K
46,Privada,Bachillerato,13,Soltero/a,Otros servicios,Cónyuge,Negro/a,Hombre,51,Estados Unidos,>50K
36,Privada,Secundaria,9,Casado/a,Servicios domésticos,Cónyuge,Negro/a,Hombre,47,Estados Unidos,<=50K
38,Privada,FP Superior,12,Divorciado/a,Servicios domésticos,Cónyuge,Negro/a,Hombre,37,Estados Unidos,<=50K
43,Privada,Bachillerato,13,Casado/a,Agricultura,Sin familia,Blanco/a,Mujer,47,Estados Unidos,<=50K
42,Privada,Algo de universidad,10,Divorciado/a,Técnico especializado,Sin familia,Blanco/a,Hombre,30,Estados Unidos,<=50K
34,Privada,Secundaria,9,Divorciado/a,Ventas,Cónyuge,Blanco/a,Hombre,39,Estados Unidos,<=50K
37,Privada,Algo de universidad,10,Viudo/a,Ejecutivo/Directivo,Hijo/a,Blanco/a,Mujer,33,Estados Unidos,<=50K
26,Privada,Bachillerato,13,Casado/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,40,Estados Unidos,<=50K
31,Privada,Secundaria,9,Soltero/a,Técnico especializado,Soltero/a,Blanco/a,Mujer,34,Estados Unidos,<=50K
43,Autónomo no inc.,Algo de universidad,10,Soltero/a,Técnico especializado,Esposo/a,Blanco/a,Mujer,48,Estados Unidos,<=50K
43,Autónomo no inc.,Bachillerato,13,Casado/a,Ejecutivo/Directivo,Cónyuge,Negro/a,Hombre,66,Estados Unidos,<=50K
24,Autónomo no inc.,Secundaria,9,Divorciado/a,Ventas,Sin familia,Blanco/a,Mujer,33,Haití,>50K
23,Privada,Bachillerato,13,Casado/a,Ejecutivo/Directivo,Hijo/a,Negro/a,Mujer,46,Estados Unidos,<=50K
17,Privada,Doctorado,16,Casado/a,Transporte,Sin familia,Blanco/a,Mujer,29,Estados Unidos,>50K
17,Privada,FP Medio,11,Casado/a,Ventas,Sin familia,Blanco/a,Hombre,33,Estados Unidos,<=50K
42,Privada,Algo de universidad,10,Soltero/a,Administración,Hijo/a,Blanco/a,Mujer,36,Estados Unidos,<=50K
42,Privada,Secundaria,9,Casado/a,Operador maquinaria,Cónyuge,Asiático/a,Hombre,38,Estados Unidos,<=50K
17,Autónomo inc.,Secundaria,9,Casado/a,Ventas,Sin familia,Blanco/a,Hombre,43,Estados Unidos,<=50K
49,Privada,Grado universitario,13,Soltero/a,Ventas,Esposo/a,Blanco/a,Hombre,54,Estados Unidos,>50K
38,Gobierno local,Bachillerato,13,Casado/a,Administración,Soltero/a,Blanco/a,Hombre,31,Estados Unidos,<=50K
39,Gobierno local,Secundaria,9,Divorciado/a,Administración,Sin familia,Blanco/a,Hombre,45,Estados Unidos,<=50K
25,Privada,Máster,14,Casado/a,Otros servicios,Hijo/a,Negro/a,Hombre,47,Estados Unidos,>50K
37,Privada,FP Superior,12,Divorciado/a,Técnico especializado,Soltero/a,Blanco/a,Mujer,64,Estados Unidos,<=50K
23,Privada,Bachillerato,13,Soltero/a,Fuerzas armadas,Cónyuge,Asiático/a,Hombre,59,Estados Unidos,>50K
42,Autónomo no inc.,FP Superior,12,Casado/a,Construcción/Reparación,Sin familia,Blanco/a,Mujer,57,Estados Unidos,<=50K
54,Privada,Secundaria,9,Casado/a,Construcción/Reparación,Cónyuge,Blanco/a,Mujer,36,Estados Unidos,<=50K
17,Privada,Algo de universidad,10,Casado/a,Ventas,Sin familia,Blanco/a,Hombre,36,Estados Unidos,<=50K
38,Privada,Bachillerato,13,Casado/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,53,Estados Unidos,<=50K
46,Privada,Máster,14,Casado/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,46,Estados Unidos,>50K
35,Privada,Secundaria,9,Casado/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,46,Estados Unidos,<=50K
57,Privada,Secundaria,9,Casado/a,Ejecutivo/Directivo,Sin familia,Blanco/a,Hombre,49,Estados Unidos,<=50K
40,Privada,Máster,14,Divorciado/a,Operador maquinaria,Hijo/a,Blanco/a,Mujer,28,Estados Unidos,>50K
53,Gobierno local,Algo de universidad,10,Casado/a,Ventas,Hijo/a,Blanco/a,Mujer,44,Estados Unidos,<=50K
47,Privada,Grado universitario,13,Casado/a,Otros servicios,Cónyuge,Blanco/a,Hombre,31,Estados Unidos,<=50K
44,Gobierno federal,Algo de universidad,10,Casado/a,Técnico especializado,Sin familia,Blanco/a,Hombre,31,Estados Unidos,<=50K
56,Privada,Doctorado,16,Casado/a,Otros servicios,Cónyuge,Blanco/a,Hombre,19,Estados Unidos,>50K
41,Privada,Algo de universidad,10,Casado/a,Técnico especializado,Esposo/a,Blanco/a,Mujer,33,Estados Unidos,<=50K
30,Privada,Bachillerato,13,Soltero/a,Ejecutivo/Directivo,Hijo/a,Negro/a,Hombre,37,Estados Unidos,<=50K
22,Privada,Primaria incompleta,2,Soltero/a,Ventas,Sin familia,Blanco/a,Hombre,25,Estados Unidos,<=50K
25,Privada,Bachillerato,13,Casado/a,Operador maquinaria,Cónyuge,Blanco/a,Hombre,47,Estados Unidos,<=50K
31,Privada,Primaria incompleta,2,Soltero/a,Ventas,Otro familiar,Blanco/a,Mujer,23,Estados Unidos,<=50K
31,Autónomo inc.,Grado universitario,13,Soltero/a,Técnico especializado,Cónyuge,Blanco/a,Hombre,44,Estados Unidos,>50K
39,Privada,Secundaria,9,Casado/a,Ventas,Hijo/a,Negro/a,Hombre,48,Estados Unidos,<=50K
32,Gobierno local,Bachillerato,13,Soltero/a,Construcción/Reparación,Esposo/a,Negro/a,Mujer,45,Estados Unidos,<=50K
31,Privada,Algo de universidad,10,Soltero/a,Construcción/Reparación,Soltero/a,Blanco/a,Mujer,37,Estados Unidos,<=50K
70,Autónomo no inc.,Algo de universidad,10,Divorciado/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,36,Estados Unidos,<=50K
44,Privada,Algo de universidad,10,Divorciado/a,Administración,Cónyuge,Blanco/a,Hombre,40,Estados Unidos,<=50K
25,Privada,Grado universitario,13,Casado/a,Técnico especializado,Soltero/a,Blanco/a,Hombre,45,Estados Unidos,>50K
30,Privada,Algo de universidad,10,Casado/a,Otros servicios,Cónyuge,Blanco/a,Mujer,35,Haití,<=50K
18,Privada,Secundaria,9,Casado/a,Técnico especializado,Esposo/a,Blanco/a,Mujer,50,Estados Unidos,<=50K
53,Autónomo no inc.,Grado universitario,13,Casado/a,Administración,Hijo/a,Blanco/a,Hombre,36,Estados Unidos,<=50K
39,Privada,Bachillerato,13,Casado/a,Servicios domésticos,Sin familia,Asiático/a,Mujer,26,Estados Unidos,<=50K
17,Gobierno federal,Bachillerato,13,Divorciado/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,64,Estados Unidos,>50K
26,Autónomo no inc.,FP Superior,12,Separado/a,Operador maquinaria,Cónyuge,Blanco/a,Hombre,12,Estados Unidos,>50K
36,Privada,Secundaria,9,Soltero/a,Otros servicios,Sin familia,Blanco/a,Hombre,51,Estados Unidos,<=50K
39,Privada,Bachillerato,13,Casado/a,Otros servicios,Cónyuge,Blanco/a,Hombre,60,Estados Unidos,>50K
27,Privada,Algo de universidad,10,Soltero/a,Otros servicios,Cónyuge,Blanco/a,Mujer,55,Estados Unidos,<=50K
27,Privada,Bachillerato,13,Separado/a,Construcción/Reparación,Sin familia,Blanco/a,Hombre,50,Estados Unidos,<=50K
41,Autónomo no inc.,Secundaria,9,Divorciado/a,Técnico especializado,Soltero/a,Blanco/a,Hombre,28,Estados Unidos,<=50K
56,Autónomo no inc.,Grado universitario,13,Soltero/a,Técnico especializado,Cónyuge,Negro/a,Mujer,61,Estados Unidos,<=50K
17,Privada,Máster,14,Casado/a,Técnico especializado,Cónyuge,Negro/a,Hombre,16,Estados Unidos,<=50K
41,Gobierno federal,FP Medio,11,Casado/a,Operador maquinaria,Hijo/a,Blanco/a,Hombre,43,Estados Unidos,<=50K
24,Privada,Doctorado,16,Separado/a,Técnico especializado,Cónyuge,Blanco/a,Mujer,46,Estados Unidos,>50K
38,Gobierno federal,Grado universitario,13,Divorciado/a,Ventas,Hijo/a,Blanco/a,Mujer,22,Estados Unidos,>50K
42,Autónomo no inc.,Algo de universidad,10,Divorciado/a,Técnico especializado,Cónyuge,Blanco/a,Mujer,50,Guatemala,<=50K
54,Privada,Secundaria,9,Soltero/a,Ventas,Cónyuge,Blanco/a,Hombre,34,Estados Unidos,<=50K
19,Privada,Algo de universidad,10,Soltero/a,Fuerzas armadas,Cónyuge,Blanco/a,Hombre,26,Estados Unidos,<=50K
17,Privada,Grado universitario,13,Casado/a,Ventas,Cónyuge,Blanco/a,Mujer,57,Estados Unidos,<=50K
66,Privada,Secundaria,9,Divorciado/a,Ventas,Sin familia,Blanco/a,Hombre,36,Estados Unidos,<=50K
37,Privada,Bachillerato,13,Casado/a,Operador maquinaria,Sin familia,Blanco/a,Hombre,55,Estados Unidos,<=50K
32,Privada,Bachillerato,13,Casado/a,Ventas,Sin familia,Otro,Hombre,29,Filipinas,>50K
62,Autónomo no inc.,Bachillerato,13,Casado/a,Transporte,Cónyuge,Blanco/a,Hombre,27,Estados Unidos,<=50K
19,Privada,Bachillerato,13,Soltero/a,Construcción/Reparación,Hijo/a,Blanco/a,Hombre,25,Alemania,<=50K
51,Gobierno federal,Algo de universidad,10,Soltero/a,Administración,Hijo/a,Blanco/a,Hombre,37,Estados Unidos,<=50K
17,Autónomo no inc.,Grado universitario,13,Casado/a,Ventas,Cónyuge,Blanco/a,Mujer,38,Estados Unidos,>50K
25,Privada,FP Medio,11,Casado/a,Construcción/Reparación,Sin familia,Blanco/a,Mujer,29,Estados Unidos,<=50K
31,Privada,FP Medio,11,Casado/a,Ventas,Hijo/a,Blanco/a,Hombre,39,Estados Unidos,<=50K
41,Privada,Máster,14,Casado/a,Administración,Cónyuge,Blanco/a,Hombre,41,Vietnam,>50K
23,Privada,Secundaria,9,Viudo/a,Ventas,Cónyuge,Blanco/a,Hombre,46,Estados Unidos,<=50K
46,Privada,Secundaria,9,Casado/a,Transporte,Sin familia,Blanco/a,Hombre,34,Estados Unidos,<=50K
36,Privada,Algo de universidad,10,Separado/a,Transporte,Sin familia,Blanco/a,Hombre,30,Estados Unidos,<=50K
28,Privada,Grado universitario,13,Casado/a,Técnico especializado,Sin familia,Blanco/a,Hombre,40,Estados Unidos,>50K
53,Privada,Algo de universidad,10,Soltero/a,Agricultura,Esposo/a,Blanco/a,Hombre,30,Estados Unidos,<=50K
37,Gobierno local,Secundaria,9,Divorciado/a,Técnico especializado,Sin familia,Blanco/a,Mujer,31,Estados Unidos,<=50K
17,Autónomo no inc.,Secundaria,9,Soltero/a,Operador maquinaria,Cónyuge,Negro/a,Mujer,42,Estados Unidos,<=50K
50,Privada,FP Superior,12,Soltero/a,Construcción/Reparación,Soltero/a,Blanco/a,Hombre,47,Estados Unidos,<=50K
41,Privada,Secundaria,9,Soltero/a,Técnico especializado,Esposo/a,Blanco/a,Hombre,49,Estados Unidos,<=50K
41,Privada,Secundaria,9,Casado/a,Agricultura,Hijo/a,Blanco/a,Mujer,39,Estados Unidos,<=50K
61,Gobierno local,Bachillerato,13,Soltero/a,Ejecutivo/Directivo,Otro familiar,Blanco/a,Hombre,42,Estados Unidos,<=50K
34,Autónomo inc.,Secundaria,9,Casado/a,Administración,Otro familiar,Blanco/a,Mujer,16,Estados Unidos,<=50K
30,Privada,Secundaria,9,Soltero/a,Otros servicios,Sin familia,Blanco/a,Mujer,35,Estados Unidos,<=50K
38,Privada,Secundaria,9,Casado/a,Otros servicios,Cónyuge,Blanco/a,Hombre,41,Estados Unidos,<=50K
31,Privada,Grado universitario,13,Divorciado/a,Construcción/Reparación,Cónyuge,Blanco/a,Hombre,49,Estados Unidos,>50K
47,Privada,Algo de universidad,10,Soltero/a,Otros servicios,Sin familia,Blanco/a,Hombre,48,Estados Unidos,<=50K
39,Privada,Máster,14,Casado/a,Administración,Cónyuge,Blanco/a,Hombre,53,México,>50K
32,Gobierno local,Grado universitario,13,Soltero/a,Técnico especializado,Soltero/a,Blanco/a,Hombre,49,Estados Unidos,>50K
46,Privada,Grado universitario,13,Divorciado/a,Técnico especializado,Cónyuge,Blanco/a,Mujer,35,Estados Unidos,<=50K
17,Privada,Grado universitario,13,Casado/a,Agricultura,Otro familiar,Blanco/a,Hombre,49,Estados Unidos,>50K
47,Privada,Secundaria,9,Viudo/a,Transporte,Hijo/a,Blanco/a,Mujer,32,Estados Unidos,<=50K
41,Autónomo inc.,FP Superior,12,Divorciado/a,Ventas,Hijo/a,Blanco/a,Hombre,47,Estados Unidos,<=50K
49,Privada,Secundaria,9,Soltero/a,Ventas,Sin familia,Blanco/a,Mujer,42,Estados Unidos,<=50K
34,Privada,Máster,14,Soltero/a,Operador maquinaria,Hijo/a,Blanco/a,Hombre,11,Estados Unidos,<=50K
32,Privada,Bachillerato,13,Casado/a,Servicios domésticos,Cónyuge,Blanco/a,Hombre,13,Estados Unidos,<=50K
26,Privada,Bachillerato,13,Casado/a,Ejecutivo/Directivo,Cónyuge,Blanco/a,Hombre,31,Estados Unidos,<=50K
44,Privada,Máster,14,Casado/a,Técnico especializado,Sin familia,Blanco/a,Mujer,72,Estados Unidos,<=50K
